task,feature_set_name,selection_metric,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,num_surviving_features,best_params_json
Carcinogens_Lagunin,fg_top_level,macro_f1,0.8541666666666667,0.0,0.7095652173913043,0.011795356492391773,0.846311927397943,0.9413060218697058,123,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/Carcinogens_Lagunin/fg_top_level/best_params.json
HIA_Hou,fg_top_level,macro_f1,0.815565509518477,0.030981275603305092,0.9651428571428571,0.014835148555139635,0.8354147200807127,0.9498484848484848,150,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/HIA_Hou/fg_top_level/best_params.json
Bioavailability_Ma,fg_top_level,macro_f1,0.7257142857142858,0.0,0.7583710407239819,0.005594943285366921,0.766665212492937,0.9143000894454383,155,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/Bioavailability_Ma/fg_top_level/best_params.json
DILI,fg_top_level,macro_f1,0.6773729419655945,0.02098007215400478,0.7052941176470588,0.001921168425712344,0.8457321195148172,0.9387893356643356,155,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n10/DILI/fg_top_level/best_params.json
