bucket	n_molecules
1	454293
2	466996
3	421193
4	215105
5	165300
6-10	557202
11-20	256654
21-50	175327
51-100	53571
101-200	4659
201-500	2037
501-1000	992
1001-2000	647
2001-5000	256
5001-10000	30
10001-19590	4
