task,feature_set_name,selection_metric,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,num_surviving_features,best_params_json
BBB_Martins,fg_top_level,macro_f1,0.8395678637733273,0.0028045183145894437,0.8625140291806958,0.0036617087327324256,0.9458845678048776,0.9912334656822288,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/BBB_Martins/fg_top_level/best_params.json
AMES,fg_top_level,macro_f1,0.7702080437638921,0.0017870851644790882,0.8322355055477418,0.0017632851913901145,0.9176642044022983,0.971564413459566,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/AMES/fg_top_level/best_params.json
ClinTox,fg_top_level,macro_f1,0.6960763685000326,0.013830168982840707,0.5877296587926508,0.005288567369976347,0.9260023001452851,0.9968904912122578,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/ClinTox/fg_top_level/best_params.json
PAMPA_NCATS,fg_top_level,macro_f1,0.6861312198540628,0.004748955770300871,0.6846808510638297,0.006536375834039124,0.7005019413283853,0.9262318679280283,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/PAMPA_NCATS/fg_top_level/best_params.json
