task,feature_set_name,selection_metric,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,num_surviving_features,best_params_json
CYP2D6_Substrate_CarbonMangels,fg_top_level,macro_f1,0.8363041376105036,0.009971561166013332,0.8538633818589025,0.003943296049643643,0.887679320207144,0.9822631030892053,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/CYP2D6_Substrate_CarbonMangels/fg_top_level/best_params.json
CYP3A4_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6803960319305588,0.015263832096998244,0.6858974358974359,0.00552494620109828,0.6982012023704024,0.7710316363569362,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/CYP3A4_Substrate_CarbonMangels/fg_top_level/best_params.json
CYP2C9_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6640714173884181,0.014468448084095748,0.7362844702467345,0.0037173435340684224,0.8184417730646185,0.945037037037037,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/CYP2C9_Substrate_CarbonMangels/fg_top_level/best_params.json
SARSCoV2_3CLPro_Diamond,fg_top_level,macro_f1,0.6068629908812745,0.02182604579224444,0.5623437499999999,0.029590301409414564,0.7553020962121979,0.9368464700367781,534,/data1/tianang/Projects/Intern-S1/train/tree/results/fg_top_level_n40_llm4sdmatch/SARSCoV2_3CLPro_Diamond/fg_top_level/best_params.json
