candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
15,200,10,2,log2,40.0,gini,balanced,True,0.8741531871337107,0.013090012694749749,0.8483120293529132,0.0534211268700499,0.9670541241289904,0.00917814709409422,0.8979390681003585,0.06063496180776446
19,700,50,1,log2,30.0,gini,balanced,True,0.9344437380801016,0.013345745183476634,0.8377306715035739,0.08417648319281563,0.9913855591823506,0.003211720985746929,0.8909289127837514,0.05418804816750869
37,700,50,1,log2,10.0,entropy,balanced,True,0.9282176017341566,0.013610163157236259,0.8377306715035739,0.08417648319281563,0.9894511192906915,0.0036623739371618915,0.8877688172043008,0.05551363701629504
34,400,50,1,,40.0,gini,,True,0.9517290986384335,0.006531003404728495,0.8360610604633181,0.07444513535574661,0.9902497974396371,0.002566473645116277,0.8211827956989246,0.0965788668490315
33,100,20,4,,8.0,gini,,True,0.834432887359568,0.023282124182872867,0.8344262592246464,0.07677781750608544,0.9524617913281016,0.006325124607824063,0.7814127837514935,0.11898214772099205
35,150,50,2,,,entropy,,False,0.8862517938281341,0.012437804309119537,0.8344262592246464,0.07677781750608544,0.9570654443595619,0.013418594301086337,0.7572909199522103,0.12408993935779375
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8911619350080395,0.011910961279046166,0.8285393632598466,0.09081962088879128,0.9754176447438478,0.005346671081958211,0.8852568697729988,0.07401325595159886
3,400,20,1,log2,,gini,balanced,False,0.9907197590498187,8.164931618699356e-05,0.8277709298949617,0.0817549349868353,0.9983859990277102,0.0009849203907357144,0.8910215053763441,0.06033067638556717
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.9330651750105075,0.010158605931275558,0.825622653243793,0.038917561240021104,0.9892882839086049,0.001994665143537921,0.9024611708482677,0.046600582483640914
4,100,2,1,log2,40.0,entropy,balanced,False,0.9944481852931286,0.004533650464616429,0.8247919866871479,0.054437318548888204,0.9998305437877631,0.0001650702583861127,0.8707019115890084,0.06612870739937846
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9249155195823431,0.014561321751003272,0.8182891705069124,0.0644538921748228,0.9937816283538208,0.0037304340917183897,0.8752568697729988,0.06103900909840426
