candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
36,48,3.0,0.005,,10.0,0.7936345777724377,0.004023537080135074,0.7526783437478759,0.017387041086048202,0.8727346707854775,0.0013750519568873395,0.8273600221023262,0.012641249609357755
17,32,,0.0001,,2.0,0.7673089200634478,0.0030380077266112817,0.7455931198773004,0.008141238913009767,0.8472754625670085,0.00274832541249641,0.8190326846471903,0.009289705087984273
31,32,2.0,0.005,,8.0,0.7678707555581266,0.006090250149980049,0.7393328907202346,0.012215443009394132,0.8380438125770281,0.003168347419142515,0.8041375260521715,0.011716882451396304
30,24,3.0,0.0005,,10.0,0.7627895476589844,0.007750054803116519,0.7393133895664878,0.00989142288882147,0.8376554197899791,0.0031667219269483435,0.809310317241754,0.011916704139713144
27,32,,0.001,log2,5.0,0.7503274875764958,0.005245695308311706,0.7362015290338535,0.008188547496281383,0.8312127216845763,0.0030289644658814388,0.8079143774048159,0.011291923653614913
21,32,8.0,0.0005,sqrt,6.0,0.7622348760392017,0.007132380691010764,0.7358647181770801,0.0137469209009976,0.8394326421402107,0.0032272908560628975,0.8069549730557194,0.00645501767571289
4,32,3.0,0.0005,sqrt,,0.7596255829426477,0.0032501761598555203,0.7316183170411357,0.007898587970302556,0.8379227455198022,0.003950116167024596,0.8018661185044115,0.00929712205196926
3,24,4.0,0.0001,log2,,0.7435201827652349,0.006594700452320786,0.7270612185128751,0.018542409325876603,0.8158529034944882,0.006574271690751344,0.7958954803684282,0.01707500488304844
6,16,4.0,0.0001,,,0.7449752534618602,0.00833095918513043,0.7248569431131935,0.010961048033868031,0.8183663786791009,0.0034425613060542074,0.7938185065447192,0.008754850789762137
24,12,3.0,0.005,,10.0,0.7348975515520879,0.010363552690849048,0.7231104054957378,0.011429099776603939,0.8030185956826843,0.005448494968810479,0.787196015439952,0.00745641097801587
39,16,6.0,0.0001,sqrt,6.0,0.7340666265392239,0.008044831996829942,0.7227667276760126,0.012589556335641575,0.8009827147367664,0.0035845042856264674,0.7757370477717958,0.013970771312541434
7,16,,0.005,log2,4.0,0.7201828232551459,0.007056938253383074,0.7144385048364932,0.0138642745460883,0.7930391813023192,0.006218103406308091,0.7797997174664618,0.01206181487014744
11,16,6.0,0.0005,sqrt,6.0,0.7184430701312408,0.007645304627324565,0.7122824984157685,0.017572752419899817,0.7964599721796244,0.005748517058153643,0.7811176300798502,0.009825342761543645
26,32,3.0,0.0001,sqrt,6.0,0.7385307097056775,0.008562851794414716,0.7092950843073094,0.01659023957291036,0.8132469024773201,0.007896697894568034,0.7773416029584406,0.010247510830545153
38,48,6.0,0.0005,log2,2.0,0.7129648340976829,0.012311212151462483,0.7055282427005727,0.014896657272281282,0.7843643651020746,0.012051539110613785,0.7671651342430261,0.015892693788933918
25,12,,0.0,log2,5.0,0.7023615055375816,0.0069151613661633,0.7012958155288145,0.018598800186567024,0.7688215322717611,0.0072393652455055545,0.76552199614583,0.015406195394998531
10,12,8.0,0.0,sqrt,8.0,0.716426003022886,0.007452214017910776,0.697228851476668,0.015108885243134982,0.7856876974162568,0.007049592084140363,0.7687696417535503,0.01312123266317999
8,12,8.0,0.0,log2,5.0,0.7057793799852743,0.014955672995466724,0.6962169497858062,0.017981079423708395,0.7724453901098602,0.014367573179100451,0.7617892500530095,0.01635949282857342
34,16,2.0,0.0001,,4.0,0.7118079336081742,0.011223363424658062,0.6947898635913624,0.013026051526810153,0.7827519957590812,0.00685962770400817,0.7610045552512903,0.009788244731149504
